grid_index,x,observed_lambda1,fitted_mean_lambda1,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.1931814081481927e-06,3.1781899461381143e-06,1.7520608908942128e-06,3.178342234759096e-06,1.436308022967224e-09,3.1781899461381143e-06,3.1781899461381143e-06,3.1781899461381143e-06
2,6.3863628162963855e-06,6.356379892276229e-06,4.7029852463730475e-06,6.3565512765646806e-06,2.1837971263381815e-09,6.356379892276229e-06,6.356379892276229e-06,6.356379892276229e-06
3,9.579544224444579e-06,9.53456983841434e-06,7.839311529145663e-06,9.534676211238687e-06,3.023478403520339e-09,9.53456983841434e-06,9.53456983841434e-06,9.53456983841434e-06
4,1.2772725632592771e-05,1.2712759784552457e-05,1.0965433459290409e-05,1.2711833209679102e-05,5.842637771936738e-09,1.2695029705485316e-05,1.2712759784552457e-05,1.2712759784552457e-05
5,1.5965907040740965e-05,1.5890949730690463e-05,1.3999617387339334e-05,1.5883810148517377e-05,1.377633394063039e-08,1.584323672760315e-05,1.5890949730690463e-05,1.5890949730690463e-05
6,1.9159088448889157e-05,1.9053255496610267e-05,1.6534445059365475e-05,1.9047377464300853e-05,2.4912555669484257e-08,1.8987532422265936e-05,1.905971546897313e-05,1.906913967682868e-05
7,2.235226985703735e-05,2.2201462518728273e-05,1.8268726523873887e-05,2.2194845857147865e-05,3.92661498105187e-08,2.211530608902632e-05,2.219941823233726e-05,2.2247329622966856e-05
8,2.5545451265185542e-05,2.5313837414191707e-05,1.9365093474374323e-05,2.5304633743740473e-05,6.257518780445842e-08,2.5176167762010373e-05,2.530487220704468e-05,2.541717817168717e-05
9,2.8738632673333734e-05,2.834281051281465e-05,1.9972456822973276e-05,2.8331837366313116e-05,1.0128181457527338e-07,2.8121984048105768e-05,2.833083764224912e-05,2.8527959110117163e-05
10,3.193181408148193e-05,3.133417858168543e-05,2.024760734600275e-05,3.12875024929691e-05,1.5537430705981487e-07,3.096553979704629e-05,3.129336002025437e-05,3.157878499354213e-05
11,3.512499548963012e-05,3.412505397575853e-05,2.0130339227997298e-05,3.402424708845552e-05,2.2128949573464085e-07,3.356912746485869e-05,3.4038490772311016e-05,3.4427900767675165e-05
12,3.8318176897778315e-05,3.617250862334498e-05,1.9623304927525733e-05,3.607650810095811e-05,2.9938552950352733e-07,3.547489070622987e-05,3.6089981592971184e-05,3.663027280876433e-05
13,4.1511358305926503e-05,3.776225911079323e-05,1.8945663344926046e-05,3.7629892910205174e-05,3.999060045348243e-07,3.6831478975663914e-05,3.763784534693654e-05,3.836728179768351e-05
