month_index,month_label,year,month,landscape_summary,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
0,2007_1,2007,1,landscape_lambda1_peak_top10,4.717871296471032e-05,2.0043540682088238e-05,4.6696766428660956e-05,1.405189389031344e-05,2.877151297354971e-05,4.3333188889370365e-05,7.37136960047e-05
1,2007_2,2007,2,landscape_lambda1_peak_top10,2.8104097577426788e-05,1.6656478900592957e-05,4.359209276087322e-05,1.5845846939323227e-05,2.4964217954265554e-05,3.685684800235884e-05,7.60070939954e-05
2,2007_3,2007,3,landscape_lambda1_peak_top10,3.685684800235884e-05,1.6510596733399235e-05,3.912458955231428e-05,1.1700780161826351e-05,2.247696111485727e-05,3.5231116121758736e-05,7.00819959352e-05
3,2007_4,2007,4,landscape_lambda1_peak_top10,5.112082406765e-05,1.373348725570554e-05,4.01093213252582e-05,1.2507030126042232e-05,2.4672472921960968e-05,3.685684800235884e-05,7.37136960047e-05
4,2007_5,2007,5,landscape_lambda1_peak_top10,5.188875051885e-05,2.5609381876955657e-05,4.734230192032757e-05,1.4891731514821392e-05,2.5833451736653792e-05,4.525706010137581e-05,8.760249491905e-05
5,2007_6,2007,6,landscape_lambda1_peak_top10,7.37136960047e-05,1.3217584057615711e-05,3.5660886352857715e-05,1.2260304903002599e-05,2.0026176562264007e-05,3.421376762009033e-05,7.37136960047e-05
6,2007_7,2007,7,landscape_lambda1_peak_top10,3.491010647582475e-05,2.5454283296352913e-05,4.8978797276122113e-05,1.783364483371355e-05,2.5335697998479857e-05,4.402183483007572e-05,0.0001019783805833
7,2007_8,2007,8,landscape_lambda1_peak_top10,4.2351346772827374e-05,1.3299554563674822e-05,3.818780683112656e-05,1.127613989308384e-05,2.3485230627188482e-05,3.504099796762212e-05,7.37136960047e-05
8,2007_9,2007,9,landscape_lambda1_peak_top10,5.098919029165e-05,1.737214732771184e-05,4.216644172493318e-05,1.4723164934971472e-05,2.4672472921960968e-05,3.685684800235884e-05,7.37136960047e-05
9,2007_10,2007,10,landscape_lambda1_peak_top10,3.399279352777211e-05,2.830662939834894e-05,5.290639884095935e-05,1.7232514262668373e-05,3.3277206569540275e-05,4.934494584392194e-05,0.0001019783805833
10,2007_11,2007,11,landscape_lambda1_peak_top10,4.495392222971454e-05,1.779996298199265e-05,3.922528371360117e-05,1.090067230287108e-05,2.358935648235516e-05,3.565621701799926e-05,7.37136960047e-05
11,2007_12,2007,12,landscape_lambda1_peak_top10,8.760249491905e-05,5.091287114125e-05,6.66162423579071e-05,2.3303141759717683e-05,3.421376762009033e-05,6.288912647e-05,0.00012577825294005
12,2008_1,2008,1,landscape_lambda1_peak_top10,3.1592382444744925e-05,1.743828066776742e-05,3.9363139484051515e-05,1.2100113979049205e-05,2.3443360840210053e-05,3.562673548009223e-05,7.43383883437e-05
13,2008_2,2008,2,landscape_lambda1_peak_top10,7.53829453624e-05,3.667516108136818e-05,6.557381433786985e-05,1.9362033325181727e-05,3.716919417187035e-05,6.1209078766075e-05,0.0001086956521739
14,2008_3,2008,3,landscape_lambda1_peak_top10,3.3961623365596876e-05,1.734361175004888e-05,4.344904023896359e-05,1.330737104973941e-05,2.5476249842140542e-05,3.7255048059012e-05,7.43383883437e-05
15,2008_4,2008,4,landscape_lambda1_peak_top10,3.716919417187035e-05,1.5692059172713866e-05,4.4151438021303796e-05,1.4663086615040113e-05,2.5477707006369428e-05,3.71774853148933e-05,7.43383883437e-05
16,2008_5,2008,5,landscape_lambda1_peak_top10,5.22903158335e-05,2.824429513003743e-05,5.305104307546533e-05,1.5321932587330512e-05,3.3581087131727414e-05,5.17259215835e-05,8.715052638915e-05
17,2008_6,2008,6,landscape_lambda1_peak_top10,3.412270524807207e-05,2.042379557070141e-05,4.016585575780042e-05,1.2779506747895886e-05,2.2577950373665078e-05,3.4860210555671756e-05,6.97204211113e-05
18,2008_7,2008,7,landscape_lambda1_peak_top10,4.68867216804201e-05,2.1013114013065065e-05,4.7242626641825465e-05,1.3197016447280577e-05,3.153380423814329e-05,4.522976721746472e-05,7.62582613116e-05
19,2008_8,2008,8,landscape_lambda1_peak_top10,3.412270524807207e-05,1.707967016469172e-05,3.984674919970641e-05,1.166801638584156e-05,2.3425787106446776e-05,3.4860210555671756e-05,6.97204211113e-05
20,2008_9,2008,9,landscape_lambda1_peak_top10,3.21853878339234e-05,1.6293984883666366e-05,3.865308888950431e-05,1.1757000376908465e-05,2.337540906965872e-05,3.506311360448808e-05,7.43383883437e-05
21,2008_10,2008,10,landscape_lambda1_peak_top10,7.43383883437e-05,1.8502504568731896e-05,4.139051023923234e-05,1.2778459240968813e-05,2.5273905955795937e-05,3.716919417187035e-05,7.43383883437e-05
22,2008_11,2008,11,landscape_lambda1_peak_top10,3.153380423814329e-05,1.7226437932026896e-05,4.283122129465604e-05,1.2411574852500395e-05,2.541942043721403e-05,3.7402752842609215e-05,7.43383883437e-05
23,2008_12,2008,12,landscape_lambda1_peak_top10,3.432494279176202e-05,1.682626688216942e-05,4.3388267394036e-05,1.2157848237373418e-05,2.8350564176227106e-05,3.7910858933693906e-05,7.43383883437e-05
24,2009_1,2009,1,landscape_lambda1_peak_top10,5.263157894735e-05,2.825297259403764e-05,5.112349145965083e-05,1.5390158032932962e-05,3.0197795560924053e-05,5.086728724755e-05,8.940545373265e-05
25,2009_2,2009,2,landscape_lambda1_peak_top10,3.7108505269407746e-05,1.9464466821277833e-05,4.726877905161649e-05,1.5221319324929326e-05,2.8130972227901508e-05,4.416543138327835e-05,7.630093087135e-05
26,2009_3,2009,3,landscape_lambda1_peak_top10,3.508771929824561e-05,2.4698306907096965e-05,5.0071393599269987e-05,1.5128122933249146e-05,3.1070374398011494e-05,4.553630381821908e-05,8.77192982456e-05
27,2009_4,2009,4,landscape_lambda1_peak_top10,4.529669334138608e-05,2.206987318247095e-05,4.864431417484593e-05,1.4062594116001904e-05,3.1525851197982345e-05,4.660556159701725e-05,7.7675935995e-05
28,2009_5,2009,5,landscape_lambda1_peak_top10,3.4421038138510255e-05,1.6807676410098695e-05,4.171260285565103e-05,1.2349674860937581e-05,2.437689588259705e-05,3.7108505269407746e-05,7.42170105388e-05
29,2009_6,2009,6,landscape_lambda1_peak_top10,2.484965955966403e-05,1.3111709700613726e-05,3.616317456865994e-05,1.0022845405759802e-05,2.2351363433169423e-05,3.4599681682928514e-05,6.63437935381e-05
30,2009_7,2009,7,landscape_lambda1_peak_top10,3.85297064036372e-05,1.6242578674902424e-05,4.096922349080018e-05,1.2664837809256405e-05,2.4084480634215348e-05,3.7108505269407746e-05,7.42170105388e-05
31,2009_8,2009,8,landscape_lambda1_peak_top10,3.456738912509938e-05,3.0738607571420966e-05,5.030529766925324e-05,1.590951944109697e-05,3.1525851197982345e-05,4.714979489839219e-05,8.64184728127e-05
32,2009_9,2009,9,landscape_lambda1_peak_top10,3.7859189056170416e-05,1.4998556128100608e-05,3.886361981566274e-05,1.1748694604614737e-05,2.306645445528568e-05,3.535734489911371e-05,7.42170105388e-05
33,2009_10,2009,10,landscape_lambda1_peak_top10,3.7108505269407746e-05,1.193156029673857e-05,3.805650628970462e-05,1.2222270455550736e-05,2.294735875900684e-05,3.535734489911371e-05,7.42170105388e-05
34,2009_11,2009,11,landscape_lambda1_peak_top10,3.7108505269407746e-05,1.11241751752762e-05,3.3126442559338834e-05,8.863529930317176e-06,1.930474191385179e-05,3.391670058336725e-05,5.693158020086874e-05
35,2009_12,2009,12,landscape_lambda1_peak_top10,3.7108505269407746e-05,1.8593340225428525e-05,4.3048950199903486e-05,1.2636356756124634e-05,2.6363428651774257e-05,3.725319756612443e-05,7.42170105388e-05
36,2010_1,2010,1,landscape_lambda1_peak_top10,4.457122481725798e-05,1.8709141472550885e-05,4.330220825800088e-05,1.2119944568584062e-05,2.5561065385205254e-05,3.8370040672243114e-05,7.46212969181e-05
37,2010_2,2010,2,landscape_lambda1_peak_top10,3.736641506613855e-05,2.418160044995368e-05,4.089286061655796e-05,1.2905055929548755e-05,2.41785342972509e-05,3.736641506613855e-05,7.46212969181e-05
38,2010_3,2010,3,landscape_lambda1_peak_top10,5.750596624395e-05,2.1525473323009108e-05,4.3162206854816294e-05,1.3338031359371597e-05,2.5107018667068375e-05,3.7660528000602565e-05,7.46212969181e-05
39,2010_4,2010,4,landscape_lambda1_peak_top10,4.312947468299836e-05,2.5634156961530686e-05,5.0184341150430163e-05,1.5526350327583627e-05,3.220508196193359e-05,4.608507304484078e-05,8.072375764459365e-05
40,2010_5,2010,5,landscape_lambda1_peak_top10,5.11221307704e-05,3.244018814323392e-05,5.89947034856462e-05,1.699224861151855e-05,3.465723989741457e-05,5.571403102155e-05,0.0001022442615408
41,2010_6,2010,6,landscape_lambda1_peak_top10,6.32791242169e-05,1.793530706251967e-05,4.355608379665325e-05,1.2353826055826821e-05,2.6470160915371413e-05,3.823580845272793e-05,7.46212969181e-05
42,2010_7,2010,7,landscape_lambda1_peak_top10,4.991140725212747e-05,2.2798575601896727e-05,4.374258572211637e-05,1.3607219746519111e-05,2.5561065385205254e-05,3.74335554390956e-05,7.463529416164374e-05
43,2010_8,2010,8,landscape_lambda1_peak_top10,4.3937282667369664e-05,1.7109275087400143e-05,4.256472638094492e-05,1.2779011942354453e-05,2.5561065385205254e-05,3.731064845907022e-05,7.46212969181e-05
44,2010_9,2010,9,landscape_lambda1_peak_top10,7.66831961556e-05,2.9426061461229304e-05,5.1035635716504444e-05,1.422809094931887e-05,3.342841861294348e-05,4.982188675485141e-05,7.79996434302e-05
45,2010_10,2010,10,landscape_lambda1_peak_top10,4.689551678859501e-05,1.977199689315136e-05,4.438638492442823e-05,1.2814497427875899e-05,2.8550763257071074e-05,4.053341980462892e-05,7.46212969181e-05
