month_index,month_label,year,month,summary_statistic,observed_value,fitted_mean_field_value,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
0,2007_1,2007,1,n_positive_top10,10.0,10.0,9.997,0.05471740119919786,10.0,10.0,10.0
1,2007_2,2007,2,n_positive_top10,10.0,10.0,9.992,0.09972936350917921,10.0,10.0,10.0
2,2007_3,2007,3,n_positive_top10,10.0,10.0,9.99,0.1179572546048519,10.0,10.0,10.0
3,2007_4,2007,4,n_positive_top10,10.0,10.0,9.998,0.04469897088298508,10.0,10.0,10.0
4,2007_5,2007,5,n_positive_top10,10.0,10.0,9.986,0.14773566199745478,10.0,10.0,10.0
5,2007_6,2007,6,n_positive_top10,10.0,10.0,9.993,0.09465706502929383,10.0,10.0,10.0
6,2007_7,2007,7,n_positive_top10,10.0,10.0,9.996,0.06315051850925692,10.0,10.0,10.0
7,2007_8,2007,8,n_positive_top10,10.0,10.0,9.994,0.07726558075864044,10.0,10.0,10.0
8,2007_9,2007,9,n_positive_top10,10.0,10.0,9.998,0.04469897088298562,10.0,10.0,10.0
9,2007_10,2007,10,n_positive_top10,10.0,10.0,9.995,0.0947838804015965,10.0,10.0,10.0
10,2007_11,2007,11,n_positive_top10,10.0,10.0,9.996,0.06315051850925694,10.0,10.0,10.0
11,2007_12,2007,12,n_positive_top10,10.0,10.0,9.995,0.08355825501996768,10.0,10.0,10.0
12,2008_1,2008,1,n_positive_top10,10.0,10.0,9.992,0.11810990623123034,10.0,10.0,10.0
13,2008_2,2008,2,n_positive_top10,10.0,10.0,9.992,0.0997293635091792,10.0,10.0,10.0
14,2008_3,2008,3,n_positive_top10,10.0,10.0,9.993,0.11385940437207681,10.0,10.0,10.0
15,2008_4,2008,4,n_positive_top10,10.0,10.0,9.998,0.044698970882984974,10.0,10.0,10.0
16,2008_5,2008,5,n_positive_top10,10.0,10.0,9.986,0.14079710161727046,10.0,10.0,10.0
17,2008_6,2008,6,n_positive_top10,10.0,10.0,9.98,0.19400422066964773,10.0,10.0,10.0
18,2008_7,2008,7,n_positive_top10,10.0,10.0,9.991,0.10454630519501826,10.0,10.0,10.0
19,2008_8,2008,8,n_positive_top10,10.0,10.0,9.997,0.05471740119919767,10.0,10.0,10.0
20,2008_9,2008,9,n_positive_top10,10.0,10.0,9.995,0.07056897321046934,10.0,10.0,10.0
21,2008_10,2008,10,n_positive_top10,10.0,10.0,9.997,0.0706823598643693,10.0,10.0,10.0
