month_label,year,month,date,month_index,observed_n_h1,observed_max_h1,observed_total_h1,fitted_n_h1,fitted_max_h1,fitted_total_h1
2007_1,2007,1,2007-01-01,0,17.0,9.435742592942064e-05,0.0004758598056729,15,4.008708136417648e-05,0.0002000086652037
2007_2,2007,2,2007-02-01,1,15.0,5.6208195154853575e-05,0.0003430692952484,12,3.3312957801185913e-05,0.0001051406339238
2007_3,2007,3,2007-03-01,2,15.0,7.371369600471768e-05,0.0003800668522134,12,3.302119346679847e-05,9.724799183808565e-05
2007_4,2007,4,2007-04-01,3,15.0,0.0001022416481353,0.0003765336914286,15,2.746697451141108e-05,0.0001174767646937
2007_5,2007,5,2007-05-01,4,11.0,0.0001037775010377,0.0004071836613749,13,5.1218763753911314e-05,0.0001608723134048
2007_6,2007,6,2007-06-01,5,12.0,0.0001474273920094,0.000335202916444,14,2.6435168115231422e-05,8.5345810857773e-05
2007_7,2007,7,2007-07-01,6,13.0,6.98202129516495e-05,0.0003522041913541,13,5.090856659270583e-05,0.0001721544180507
2007_8,2007,8,2007-08-01,7,11.0,8.470269354565475e-05,0.0003089809063491,13,2.6599109127349644e-05,7.404140171454857e-05
2007_9,2007,9,2007-09-01,8,17.0,0.0001019783805833,0.0003048383884863,15,3.474429465542368e-05,0.0001250002322084
2007_10,2007,10,2007-10-01,9,14.0,6.798558705554423e-05,0.0003405470399802,13,5.661325879669788e-05,0.0002303524891641
2007_11,2007,11,2007-11-01,10,17.0,8.990784445942908e-05,0.0004618264120758,13,3.55999259639853e-05,0.0001033278000699
2007_12,2007,12,2007-12-01,11,14.0,0.0001752049898381,0.0005300514791702,16,0.0001018257422825,0.0003116770612746
2008_1,2008,1,2008-01-01,12,12.0,6.318476488948985e-05,0.0002540901916522,11,3.487656133553484e-05,8.479162772883982e-05
2008_2,2008,2,2008-02-01,13,14.0,0.0001507658907248,0.000467214043662,14,7.335032216273636e-05,0.0002794725097363
