month_index,month_label,year,month,scalar_monthwise_any_rank,scalar_monthwise_n_significant_ranks,scalar_global_rank_any_rank,scalar_global_rank_n_significant_ranks,scalar_global_all_ranks_any_rank,scalar_global_all_ranks_n_significant_ranks,bottleneck_monthwise_sheet,bottleneck_global_plane,old_max_simulated_global_plane
0,2007_1,2007,1,True,5,False,0,False,0,False,False,False
1,2007_2,2007,2,True,3,False,0,False,0,False,False,False
2,2007_3,2007,3,True,3,False,0,False,0,False,False,False
3,2007_4,2007,4,True,2,False,0,False,0,False,False,False
4,2007_5,2007,5,True,6,False,0,False,0,False,False,False
5,2007_6,2007,6,True,1,False,0,False,0,True,False,False
6,2007_7,2007,7,True,2,False,0,False,0,False,False,False
7,2007_8,2007,8,True,2,False,0,False,0,False,False,False
8,2007_9,2007,9,False,0,False,0,False,0,False,False,False
9,2007_10,2007,10,True,4,False,0,False,0,False,False,False
10,2007_11,2007,11,True,5,False,0,False,0,False,False,False
11,2007_12,2007,12,True,4,False,0,False,0,False,False,False
12,2008_1,2008,1,False,0,False,0,False,0,False,False,False
13,2008_2,2008,2,True,2,False,0,False,0,False,False,False
14,2008_3,2008,3,False,0,False,0,False,0,False,False,False
15,2008_4,2008,4,True,1,False,0,False,0,False,False,False
16,2008_5,2008,5,True,2,False,0,False,0,False,False,False
17,2008_6,2008,6,True,2,False,0,False,0,False,False,False
18,2008_7,2008,7,False,0,False,0,False,0,False,False,False
19,2008_8,2008,8,False,0,False,0,False,0,False,False,False
20,2008_9,2008,9,True,4,False,0,False,0,False,False,False
21,2008_10,2008,10,True,1,False,0,False,0,True,False,False
22,2008_11,2008,11,False,0,False,0,False,0,False,False,False
23,2008_12,2008,12,True,4,False,0,False,0,False,False,False
24,2009_1,2009,1,True,1,False,0,False,0,False,False,False
25,2009_2,2009,2,False,0,False,0,False,0,False,False,False
26,2009_3,2009,3,False,0,False,0,False,0,False,False,False
27,2009_4,2009,4,False,0,False,0,False,0,False,False,False
28,2009_5,2009,5,False,0,False,0,False,0,False,False,False
29,2009_6,2009,6,True,1,False,0,False,0,False,False,False
30,2009_7,2009,7,True,1,False,0,False,0,False,False,False
31,2009_8,2009,8,False,0,False,0,False,0,False,False,False
32,2009_9,2009,9,False,0,False,0,False,0,False,False,False
33,2009_10,2009,10,True,6,False,0,False,0,False,False,False
34,2009_11,2009,11,False,0,False,0,False,0,False,False,False
35,2009_12,2009,12,False,0,False,0,False,0,False,False,False
36,2010_1,2010,1,False,0,False,0,False,0,False,False,False
37,2010_2,2010,2,True,2,False,0,False,0,False,False,False
38,2010_3,2010,3,True,5,False,0,False,0,False,False,False
39,2010_4,2010,4,True,3,False,0,False,0,False,False,False
40,2010_5,2010,5,True,4,False,0,False,0,False,False,False
41,2010_6,2010,6,True,2,False,0,False,0,False,False,False
42,2010_7,2010,7,True,4,False,0,False,0,False,False,False
43,2010_8,2010,8,True,3,False,0,False,0,False,False,False
44,2010_9,2010,9,True,1,False,0,False,0,True,False,False
45,2010_10,2010,10,True,4,False,0,False,0,False,False,False
46,2010_11,2010,11,False,0,False,0,False,0,False,False,False
47,2010_12,2010,12,False,0,False,0,False,0,False,False,False
48,2011_1,2011,1,True,6,False,0,False,0,False,False,False
49,2011_2,2011,2,False,0,False,0,False,0,False,False,False
50,2011_3,2011,3,True,4,False,0,False,0,False,False,False
51,2011_4,2011,4,True,1,False,0,False,0,False,False,False
52,2011_5,2011,5,True,4,False,0,False,0,False,False,False
53,2011_6,2011,6,True,2,False,0,False,0,True,False,False
54,2011_7,2011,7,False,0,False,0,False,0,False,False,False
55,2011_8,2011,8,True,5,False,0,False,0,False,False,False
56,2011_9,2011,9,True,3,False,0,False,0,False,False,False
57,2011_10,2011,10,True,4,False,0,False,0,True,False,False
58,2011_11,2011,11,True,2,False,0,False,0,True,False,False
59,2011_12,2011,12,True,2,False,0,False,0,False,False,False
60,2012_1,2012,1,True,1,False,0,False,0,False,False,False
61,2012_2,2012,2,False,0,False,0,False,0,False,False,False
62,2012_3,2012,3,True,6,False,0,False,0,False,False,False
63,2012_4,2012,4,True,4,False,0,False,0,True,False,False
64,2012_5,2012,5,True,1,False,0,False,0,False,False,False
65,2012_6,2012,6,True,2,False,0,False,0,False,False,False
66,2012_7,2012,7,False,0,False,0,False,0,False,False,False
67,2012_8,2012,8,True,6,False,0,False,0,False,False,False
68,2012_9,2012,9,True,2,False,0,False,0,True,False,False
69,2012_10,2012,10,True,1,False,0,False,0,False,False,False
70,2012_11,2012,11,True,9,False,0,False,0,True,False,False
71,2012_12,2012,12,True,1,False,0,False,0,False,False,False
72,2013_1,2013,1,True,4,False,0,False,0,False,False,False
73,2013_2,2013,2,False,0,False,0,False,0,False,False,False
74,2013_3,2013,3,True,9,False,0,False,0,False,False,False
75,2013_4,2013,4,True,8,False,0,False,0,False,False,False
76,2013_5,2013,5,True,7,False,0,False,0,False,False,False
