month_index,month_label,year,month,rank,observed_birth,observed_death,observed_persistence,fitted_birth,fitted_death,fitted_persistence,radius_median_monthwise,radius_90_monthwise,radius_95_monthwise,radius_99_monthwise,observed_persistence_over_radius95,fitted_persistence_over_radius95,observed_persistence_over_2radius95,fitted_persistence_over_2radius95
0,2007_1,2007,1,1,0.0,9.435742592942064e-05,9.435742592942064e-05,9.546996358309565e-07,4.104178100000743e-05,4.0087081364176475e-05,4.56245967787333e-05,9.492939311099256e-05,0.0001063856110093,0.0001593188681684,0.8869378578000555,0.3768092412482104,0.4434689289000277,0.1884046206241052
0,2007_1,2007,1,2,1.3994332295420355e-05,7.371369600471768e-05,5.971936370929732e-05,9.383077064579154e-06,3.86399024184521e-05,2.9256825353872943e-05,2.9345684637092127e-05,4.940376724169934e-05,5.481804150678154e-05,7.561196575128888e-05,1.0894107499610222,0.5337079645622433,0.5447053749805111,0.2668539822811216
0,2007_1,2007,1,3,1.2574266763069378e-05,7.04870656234581e-05,5.7912798860388726e-05,9.257892804967998e-06,3.237930112328105e-05,2.312140831831305e-05,2.4866598639148468e-05,4.1334394881436626e-05,4.832468023398912e-05,6.122534186874101e-05,1.1984103894733238,0.4784596236614232,0.5992051947366619,0.2392298118307116
0,2007_1,2007,1,4,1.2916725868326896e-05,4.561523548865321e-05,3.269850962032632e-05,1.7207348069719514e-05,3.90316479718896e-05,2.182429990217009e-05,1.7207348069719514e-05,2.939588726829105e-05,3.1469467842748855e-05,4.684517695310563e-05,1.0390550543694896,0.6935071165240188,0.5195275271847448,0.3467535582620094
0,2007_1,2007,1,5,0.0,3.2482824706436475e-05,3.2482824706436475e-05,1.57854173874104e-05,3.28312336553108e-05,1.7045816267900403e-05,1.57854173874104e-05,2.804044883799331e-05,3.515435340023342e-05,4.0882462349406874e-05,0.9240057507705658,0.484884932282305,0.4620028753852829,0.2424424661411525
0,2007_1,2007,1,6,0.0,2.5952455102252672e-05,2.5952455102252672e-05,9.363563967081062e-06,2.5822019073870556e-05,1.6458455106789494e-05,1.4759102588332186e-05,3.0425365004055705e-05,3.876379990204548e-05,4.4000811707614886e-05,0.6695023493009832,0.4245831200341383,0.3347511746504916,0.2122915600170691
0,2007_1,2007,1,7,0.0,2.538876547127896e-05,2.538876547127896e-05,1.1851864133676852e-05,2.420616551138724e-05,1.2354301377710388e-05,1.1851864133676852e-05,2.5644255271879956e-05,3.303973425104228e-05,4.497883518046276e-05,0.7684312857473434,0.373922540775904,0.3842156428736717,0.186961270387952
0,2007_1,2007,1,8,0.0,2.4692355695628554e-05,2.4692355695628554e-05,1.2778806887058132e-05,2.3538319550619805e-05,1.0759512663561673e-05,1.2778806887058132e-05,2.345305753168559e-05,2.630343288539584e-05,4.3892563793952014e-05,0.9387503069737416,0.4090535524560961,0.4693751534868707,0.204526776228048
0,2007_1,2007,1,9,0.0,2.4672472921960968e-05,2.4672472921960968e-05,9.6159279138516e-06,1.8226517590851992e-05,8.610589677000392e-06,1.0548804692757586e-05,2.6727404638862547e-05,2.97837176127646e-05,4.768667097900227e-05,0.8283879548799821,0.2891039254720202,0.414193977439991,0.1445519627360101
0,2007_1,2007,1,10,5.925048141016145e-06,2.7998656064508904e-05,2.207360792349276e-05,1.906993661325804e-05,2.7558993545574025e-05,8.489056932315981e-06,9.161452273414382e-06,1.906993661325804e-05,1.9416655729435647e-05,3.2561605618155955e-05,1.1368388166881471,0.4372048951481677,0.5684194083440737,0.2186024475740838
1,2007_2,2007,2,1,0.0,5.6208195154853575e-05,5.6208195154853575e-05,1.8153132114853691e-06,3.512827101267128e-05,3.3312957801185913e-05,3.8585424992046394e-05,0.0001017267994676,0.0001122991209967,0.0001860128170014,0.5005221292559442,0.2966448669011071,0.2502610646279721,0.1483224334505535
