overall_rank_by_observed_persistence,month_index,month_label,year,month,rank,observed_birth,observed_death,observed_persistence,fitted_birth,fitted_death,fitted_persistence,radius_95_monthwise,observed_persistence_over_radius95,observed_persistence_over_2radius95,radius_95_global_rank,observed_persistence_over_2radius95_global_rank,radius_95_global_all_ranks,observed_persistence_over_2radius95_global_all_ranks
1,187,2022_8,2022,8,1,0.0,0.0004770613023773,0.0004770613023773,2.1852949318646614e-06,0.0001922130103272,0.0001900277153954,0.0002053380749871,2.3232968479290013,1.1616484239645006,0.0003425154822237,0.6964083773381992,0.0003425154822237,0.6964083773381992
2,191,2022_12,2022,12,1,0.0,0.0003187468694503,0.0003187468694503,1.5789691536469177e-06,0.0001329555608134,0.0001313765916598,0.0001402560415725,2.272607054046277,1.1363035270231383,0.0003425154822237,0.4653028636558574,0.0003425154822237,0.4653028636558574
3,107,2015_12,2015,12,1,0.0,0.0002776717226059,0.0002776717226059,6.827896199402546e-08,0.0002782025570813,0.0002781342781193,0.0001730139921532,1.6049090547544032,0.8024545273772016,0.0003425154822237,0.4053418560865656,0.0003425154822237,0.4053418560865656
4,121,2017_2,2017,2,1,0.0,0.0002764531066417,0.0002764531066417,9.3971654112121e-07,0.0001801922179492,0.000179252501408,0.0001308175270227,2.1132726854988166,1.0566363427494083,0.0003425154822237,0.4035629350926132,0.0003425154822237,0.4035629350926132
5,157,2020_2,2020,2,1,0.0,0.0002707703416219,0.0002707703416219,2.202537762092822e-07,9.498997053623392e-05,9.476971676002464e-05,0.0001306519808152,2.072454928982417,1.0362274644912084,0.0003425154822237,0.3952673027565563,0.0003425154822237,0.3952673027565563
6,120,2017_1,2017,1,1,0.0,0.0002418964683115,0.0002418964683115,1.465997888750259e-07,0.0003839561134353,0.0003838095136464,0.0002038100509555,1.186872125184628,0.5934360625923141,0.0003425154822237,0.3531175682060365,0.0003425154822237,0.3531175682060365
7,167,2020_12,2020,12,1,0.0,0.0002394554099818,0.0002394554099818,4.116108092506331e-06,0.0001479140837559,0.0001437979756634,0.0001618425198273,1.4795580928754897,0.7397790464377447,0.0003425154822237,0.3495541404832308,0.0003425154822237,0.3495541404832308
8,134,2018_3,2018,3,1,0.0,0.0002266237592349,0.0002266237592349,3.423900927492916e-06,0.0001402756127786,0.0001368517118511,0.0001683235869211,1.3463577112401566,0.6731788556200783,0.0003425154822237,0.3308226503566503,0.0003425154822237,0.3308226503566503
9,168,2021_1,2021,1,1,0.0,0.0002264492753623,0.0002264492753623,2.810068125820701e-06,0.0001757939118454,0.0001729838437196,0.0002178138973334,1.0396456706142614,0.5198228353071307,0.0003425154822237,0.3305679408885315,0.0003425154822237,0.3305679408885315
10,160,2020_5,2020,5,1,0.0,0.0002216312056737,0.0002216312056737,3.639858109377422e-06,0.0001887613385713,0.0001851214804619,0.0001362305366317,1.6268834517833073,0.8134417258916536,0.0003425154822237,0.3235345804440946,0.0003425154822237,0.3235345804440946
11,137,2018_6,2018,6,1,0.0,0.0002120590938008,0.0002120590938008,5.163274235679353e-07,6.926167419065518e-05,6.874534676708725e-05,0.0001428086738077,1.4849174643712733,0.7424587321856366,0.0003425154822237,0.3095613261392002,0.0003425154822237,0.3095613261392002
12,103,2015_8,2015,8,1,0.0,0.0002093802345058,0.0002093802345058,1.865296910127949e-06,4.236065913375069e-05,4.049536222362274e-05,0.0001116394948663,1.8755032415412212,0.9377516207706106,0.0003425154822237,0.3056507594145216,0.0003425154822237,0.3056507594145216
13,58,2011_11,2011,11,1,0.0,0.0001938798591139,0.0001938798591139,2.6312213328312796e-06,6.187407926737054e-05,5.924285793453926e-05,9.969246999422946e-05,1.9447793712523271,0.9723896856261636,0.0003425154822237,0.2830234970039917,0.0003425154822237,0.2830234970039917
14,57,2011_10,2011,10,1,0.0,0.0001908882667345,0.0001908882667345,5.7603466179746896e-08,5.278487297196823e-05,5.272726950578848e-05,9.693813945503178e-05,1.9691760932041449,0.9845880466020724,0.0003425154822237,0.2786564062669423,0.0003425154822237,0.2786564062669423
15,129,2017_10,2017,10,1,0.0,0.0001895959236876,0.0001895959236876,1.4084295588285532e-06,6.705204105621765e-05,6.56436114973891e-05,0.0001435333864321,1.3209186266724249,0.6604593133362123,0.0003425154822237,0.2767698593603517,0.0003425154822237,0.2767698593603517
16,171,2021_4,2021,4,1,0.0,0.0001843941116813,0.0001843941116813,4.02773019297674e-06,0.0001194096659231,0.0001153819357302,0.0001167550195841,1.579324917577021,0.7896624587885105,0.0003425154822237,0.269176316475077,0.0003425154822237,0.269176316475077
17,174,2021_7,2021,7,1,0.0,0.0001811758311441,0.0001811758311441,1.845317608490738e-06,0.0001159251632724,0.0001140798456639,0.0001236039908474,1.4657765489764578,0.7328882744882289,0.0003425154822237,0.2644783090794012,0.0003425154822237,0.2644783090794012
18,123,2017_4,2017,4,1,0.0,0.000181021686398,0.000181021686398,4.918745924283091e-07,0.0001173743727925,0.0001168824982001,0.0001527681273762,1.184944068550252,0.592472034275126,0.0003425154822237,0.2642532904246326,0.0003425154822237,0.2642532904246326
19,196,2023_5,2023,5,1,0.0,0.0001806333282385,0.0001806333282385,8.151939750250486e-07,0.0001051769057127,0.0001043617117376,0.0001032461653316,1.749540311334939,0.8747701556674695,0.0003425154822237,0.2636863698332451,0.0003425154822237,0.2636863698332451
20,70,2012_11,2012,11,1,0.0,0.000178616082592,0.000178616082592,1.166196807630009e-07,4.7053386810110816e-05,4.693676712934782e-05,0.000123464133865,1.4467042127979663,0.7233521063989832,0.0003425154822237,0.2607416187910826,0.0003425154822237,0.2607416187910826
