rank,months_tested,months_significant_monthwise_observed,months_significant_global_rank_observed,months_significant_global_all_ranks_observed,max_observed_persistence,median_observed_persistence,median_delta95_monthwise,delta95_global_rank
1,213,95,1,1,0.0004770613023773,0.0001070778455937,0.0001083562576968,0.0003466270977439
2,213,66,0,0,0.0001650590002773,6.739236621283255e-05,7.558100585310788e-05,0.0001790532328046
3,213,78,0,0,0.0001156998638511,5.211426891450059e-05,5.457941090686533e-05,0.0001167452131662
4,213,85,1,0,0.0001097014542749,4.2959632265547806e-05,4.374192998371033e-05,9.166253003655836e-05
5,213,81,1,0,9.243896877178172e-05,3.47668880158537e-05,3.781864862252243e-05,7.315117128796693e-05
6,213,78,1,0,6.171781814134184e-05,2.8938081932170222e-05,3.2223462669216164e-05,6.04595870862155e-05
7,213,76,5,0,5.893064452445917e-05,2.5477707006369428e-05,2.797155194458876e-05,5.0926786373091406e-05
8,213,70,5,0,5.219887772412893e-05,2.1666594444685183e-05,2.443101293034721e-05,4.544166248827584e-05
9,213,52,4,0,5.196274294162749e-05,1.7306267696034868e-05,2.121233661156124e-05,4.107045401098001e-05
10,213,47,2,0,4.886771584818935e-05,1.358800644460402e-05,1.8485667179421627e-05,3.809286842343602e-05
