overall_rank_by_observed_persistence,month_index,month_label,year,month,within_month_rank,observed_persistence,fitted_mean_persistence,delta95_monthwise,significant_monthwise_observed,delta95_global_rank,significant_global_rank_observed,delta95_global_all_ranks,significant_global_all_ranks_observed
1,187,2022_8,2022,8,1,0.0004770613023773,0.0001900277153954,0.0002075233699189,True,0.0003466270977439,True,0.0003466270977439,True
2,191,2022_12,2022,12,1,0.0003187468694503,0.0001313765916598,0.0001418350107261,True,0.0003466270977439,False,0.0003466270977439,False
3,107,2015_12,2015,12,1,0.0002776717226059,0.0002781342781193,0.0001730822711152,True,0.0003466270977439,False,0.0003466270977439,False
4,121,2017_2,2017,2,1,0.0002764531066417,0.000179252501408,0.0001317572435639,True,0.0003466270977439,False,0.0003466270977439,False
5,157,2020_2,2020,2,1,0.0002707703416219,9.476971676002464e-05,0.0001308722345914,True,0.0003466270977439,False,0.0003466270977439,False
6,120,2017_1,2017,1,1,0.0002418964683115,0.0003838095136464,0.0002039419907655,True,0.0003466270977439,False,0.0003466270977439,False
7,167,2020_12,2020,12,1,0.0002394554099818,0.0001437979756634,0.0001659586279198,True,0.0003466270977439,False,0.0003466270977439,False
8,134,2018_3,2018,3,1,0.0002266237592349,0.0001368517118511,0.0001717474878486,True,0.0003466270977439,False,0.0003466270977439,False
9,168,2021_1,2021,1,1,0.0002264492753623,0.0001729838437196,0.0002206239654592,True,0.0003466270977439,False,0.0003466270977439,False
10,160,2020_5,2020,5,1,0.0002216312056737,0.0001851214804619,0.0001398703947411,True,0.0003466270977439,False,0.0003466270977439,False
11,137,2018_6,2018,6,1,0.0002120590938008,6.874534676708725e-05,0.0001433250012313,True,0.0003466270977439,False,0.0003466270977439,False
12,103,2015_8,2015,8,1,0.0002093802345058,4.049536222362274e-05,0.0001135047917764,True,0.0003466270977439,False,0.0003466270977439,False
13,58,2011_11,2011,11,1,0.0001938798591139,5.924285793453926e-05,0.000102323691327,True,0.0003466270977439,False,0.0003466270977439,False
14,57,2011_10,2011,10,1,0.0001908882667345,5.272726950578848e-05,9.699574292121152e-05,True,0.0003466270977439,False,0.0003466270977439,False
15,129,2017_10,2017,10,1,0.0001895959236876,6.56436114973891e-05,0.000144941815991,True,0.0003466270977439,False,0.0003466270977439,False
16,171,2021_4,2021,4,1,0.0001843941116813,0.0001153819357302,0.000120782749777,True,0.0003466270977439,False,0.0003466270977439,False
17,174,2021_7,2021,7,1,0.0001811758311441,0.0001140798456639,0.0001254493084559,True,0.0003466270977439,False,0.0003466270977439,False
18,123,2017_4,2017,4,1,0.000181021686398,0.0001168824982001,0.0001532600019686,True,0.0003466270977439,False,0.0003466270977439,False
19,196,2023_5,2023,5,1,0.0001806333282385,0.0001043617117376,0.0001040613593067,True,0.0003466270977439,False,0.0003466270977439,False
20,70,2012_11,2012,11,1,0.000178616082592,4.693676712934782e-05,0.0001235807535458,True,0.0003466270977439,False,0.0003466270977439,False
21,11,2007_12,2007,12,1,0.0001752049898381,0.0001018257422825,0.0001102357230447,True,0.0003466270977439,False,0.0003466270977439,False
22,108,2016_1,2016,1,1,0.0001749628204006,6.318563334525894e-05,0.0001096632621502,True,0.0003466270977439,False,0.0003466270977439,False
23,147,2019_4,2019,4,1,0.000174370255117,0.000104321734399,0.0001289779000981,True,0.0003466270977439,False,0.0003466270977439,False
24,186,2022_7,2022,7,1,0.0001662303120974,0.0001010392920529,0.0002170015761985,False,0.0003466270977439,False,0.0003466270977439,False
25,167,2020_12,2020,12,2,0.0001650590002773,3.3267099253755e-05,0.0001023785857142,True,0.0001790532328046,False,0.0003466270977439,False
