Unnamed: 0,2007_1,2007_2,2007_3,2007_4,2007_5,2007_6,2007_7,2007_8,2007_9,2007_10,2007_11,2007_12,2008_1,2008_2,2008_3,2008_4,2008_5,2008_6,2008_7,2008_8,2008_9,2008_10,2008_11,2008_12,2009_1,2009_2,2009_3,2009_4,2009_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,2010_10,2010_11,2010_12,2011_1,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2011_12,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12,2017_1,2017_2,2017_3,2017_4,2017_5,2017_6,2017_7,2017_8,2017_9,2017_10,2017_11,2017_12,2018_1,2018_2,2018_3,2018_4,2018_5,2018_6,2018_7,2018_8,2018_9,2018_10,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2020_7,2020_8,2020_9,2020_10,2020_11,2020_12,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2022_1,2022_2,2022_3,2022_4,2022_5,2022_6,2022_7,2022_8,2022_9,2022_10,2022_11,2022_12,2023_1,2023_2,2023_3,2023_4,2023_5,2023_6,2023_7,2023_8,2023_9,2023_10,2023_11,2023_12,2024_1,2024_2,2024_3,2024_4,2024_5,2024_6,2024_7,2024_8,2024_9
Adams,0,0,0,1,0,0,0,0,1,0,1,5,1,2,0,0,3,1,1,1,0,0,1,0,3,0,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,4,1,0,2,0,1,1,2,2,0,1,0,1,1,0,0,2,1,0,4,0,0,2,0,1,0,1,1,3,0,1,0,1,2,0,1,0,2,2,0,0,3,0,1,2,2,1,1,2,1,1,0,1,2,2,0,0,1,0,2,2,2,0,4,2,0,1,0,3,1,0,2,3,0,1,1,1,0,0,2,1,1,4,2,1,1,1,2,0,0,1,0,1,1,1,0,0,3,3,1,4,0,1,0,1,0,3,1,0,1,0,4,2,1,2,0,2,1,0,0,3,2,3,0,0,3,4,2,0,2,0,0,0,2,0,3,0,0,0,4,0,1,2,0,2,0,0,0,0,0
Allen,0,3,0,1,0,1,0,0,1,0,2,0,0,1,1,3,2,0,1,4,1,1,2,1,0,0,3,1,0,0,1,1,0,2,0,0,2,1,0,0,1,2,0,0,2,1,0,1,1,0,2,1,1,1,0,0,0,0,2,3,1,2,1,3,2,1,2,1,3,3,1,2,2,1,0,2,1,0,4,1,1,2,2,2,1,2,4,0,1,2,2,0,1,1,0,1,3,3,0,3,0,3,2,3,2,3,0,3,2,3,4,2,1,1,3,2,4,2,2,5,7,6,6,2,4,4,4,2,5,1,4,3,2,2,4,1,2,0,1,2,3,0,0,1,1,2,0,2,1,1,2,1,2,1,1,4,5,2,4,5,8,1,3,2,3,3,3,3,3,0,2,2,4,2,5,4,4,4,6,2,4,1,3,3,4,4,6,2,1,11,2,7,4,6,0,0,2,4,4,0,0,5,0,3,6,0,3,0,0,1,0,0,0
Ashland,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,2,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,3,2,4,3,1,0,0,0,0,1,0,2,1,2,0,0,2,1,1,2,0,0,0,2,0,1,2,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,1,1,0,2,2,1,2,3,3,2,2,2,3,1,2,3,0,1,0,2,0,4,0,0,1,1,1,0,1,3,4,3,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Ashtabula,1,0,2,0,1,1,0,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,1,3,3,0,0,2,0,1,4,0,1,0,2,2,3,2,2,4,3,1,2,0,1,2,1,0,0,0,0,2,0,1,4,3,1,2,7,0,0,3,6,1,5,3,2,2,2,0,2,1,1,0,5,3,1,0,1,1,2,1,3,4,3,0,3,3,4,3,0,3,3,2,5,1,1,2,2,0,1,0,2,1,3,0,4,6,4,3,4,4,3,5,4,5,2,3,2,4,1,6,3,8,4,1,0,5,3,3,5,4,3,2,2,2,1,7,3,2,3,4,1,1,2,6,4,1,2,2,3,2,3,1,6,2,4,2,3,2,4,8,2,1,8,2,5,3,3,6,3,6,2,4,4,2,2,2,2,3,2,2,4,4,3,2,4,4,4,4,4,2,0,3,3,4,6,0,3,2,4,6,2,0,5,3,0,0,0,2,3,2,0
Athens,3,2,1,2,1,1,3,2,2,4,0,0,1,1,1,1,4,0,1,1,3,0,1,0,3,1,2,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,2,1,0,1,2,1,1,1,3,0,1,1,0,0,2,1,0,1,1,1,0,1,1,3,1,2,0,1,1,1,0,0,0,2,2,0,2,2,0,0,0,1,1,1,0,0,1,1,1,2,0,1,1,2,1,2,0,2,0,0,1,1,0,1,0,0,1,2,0,2,1,1,0,2,2,0,0,3,0,1,1,0,1,1,2,2,0,0,1,1,0,3,0,2,0,3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,3,0,1,1,0,0,4,2,3,4,1,1,2,0,4,2,5,2,3,3,1,0,1,4,4,2,4,0,1,2,4,2,2,2,2,4,4,1,0,2,4,1,0,3,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
Auglaize,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,2,0,1,1,1,0,2,0,0,2,1,0,1,0,0,1,1,0,1,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,1,0,2,0,1,4,1,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,0,2,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,2,2,1,0,0,0,1,0,1,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Belmont,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,2,1,0,0,0,0,2,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,3,0,0,1,2,1,0,0,1,0,1,1,1,0,0,2,2,0,1,0,3,1,0,3,0,1,5,2,0,0,0,1,1,3,1,1,1,0,2,2,0,2,2,5,0,2,2,0,1,1,0,4,2,3,1,4,3,4,3,0,1,2,2,2,0,0,3,2,1,1,0,1,2,1,3,2,2,4,3,0,4,2,4,2,0,3,2,4,0,0,0,0,1,2,2,3,2,2,2,1,4,6,3,1,3,3,1,2,2,1,3,1,1,1,2,5,1,2,5,1,1,2,1,2,3,1,4,1,4,3,4,3,2,4,4,3,3,0,1,0,0,2,0,1,0,3,2,1,0,0
Brown,1,1,2,2,1,1,0,1,0,1,4,0,1,1,3,1,2,0,1,1,2,1,0,0,3,3,2,2,1,0,1,2,1,1,1,0,4,1,2,3,4,0,2,2,1,1,0,2,3,3,2,1,1,1,0,1,0,1,1,2,1,0,1,2,3,2,2,1,0,2,0,0,2,0,2,2,2,4,0,3,3,0,0,0,2,1,0,2,0,3,3,2,1,0,0,5,5,0,1,4,2,1,3,0,4,4,2,2,3,4,3,2,3,2,3,3,1,0,1,0,0,5,0,5,5,4,1,1,1,4,1,2,1,0,1,2,3,2,0,4,2,2,4,3,1,0,2,1,1,3,0,2,1,2,2,0,5,0,1,1,3,3,0,4,3,2,0,0,4,1,5,2,2,5,1,1,1,2,2,5,3,1,3,2,4,0,2,4,2,2,1,0,0,0,5,2,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0
Butler,7,3,4,4,5,2,3,11,8,7,5,2,2,4,4,6,3,6,12,9,5,5,5,9,7,7,3,7,3,10,12,6,4,3,10,10,5,7,10,6,5,4,9,4,6,8,5,6,6,9,7,7,3,7,4,13,8,5,12,6,6,15,9,10,12,5,11,7,5,6,8,9,14,12,15,14,13,7,9,8,9,10,7,17,11,22,23,11,8,13,12,10,11,15,7,17,25,27,16,15,14,13,9,13,12,14,21,22,20,14,22,24,18,16,25,17,25,23,13,10,26,22,30,31,28,24,27,11,12,16,23,23,15,18,20,11,18,9,21,12,13,12,9,19,6,10,19,16,11,20,23,14,14,12,13,14,11,22,15,17,21,21,21,20,21,12,13,12,17,8,25,22,20,16,21,13,13,14,13,12,16,14,23,17,17,14,22,17,13,23,15,13,10,16,14,9,9,5,19,12,8,13,6,15,5,9,14,9,7,8,6,0,0
Carroll,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,2,1,0,0,0,1,1,2,1,0,0,0,0,0,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0
