,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Adams,28538,28686,28500,28528,28441,28265,28052,28017,27865,27754,27673,27601,27546,27440,27574,27459,27521
Allen,106717,106773,106518,106343,105984,105258,105081,104899,104156,103710,103195,102771,102477,102125,101784,101097,100838
Ashland,53544,53499,53305,53292,53133,53024,52844,52752,52802,52874,52962,52917,52511,52470,52183,52024,52190
Ashtabula,102156,101826,101584,101431,101203,100460,100048,99415,98877,98688,98373,98218,97853,97495,97439,96960,96845
Athens,64102,64546,64618,65097,64701,63929,63611,63502,64306,64446,64317,63090,62687,62393,59096,60881,62706
Auglaize,45977,46167,45996,45932,45847,45948,46053,46061,46131,46220,46276,46320,46273,46472,46255,45946,46050
Belmont,70430,70356,70439,70344,70166,69788,69679,69516,69157,68808,68267,67712,67225,66292,65899,65495,64918
Brown,44490,44668,44740,44872,44655,44332,44186,44030,43815,43777,43695,43778,43647,43673,43696,43700,43777
Butler,361192,364179,366633,369236,370789,371755,373125,376005,378802,381658,384382,386245,388235,390878,387619,389728,393043
Carroll,29062,28999,28917,28854,28807,28506,28206,28058,27623,27503,27182,26967,26796,26702,26700,26686,26758
Champaign,40127,40263,40265,40071,39795,39518,39380,38975,38834,38592,38661,38576,38681,38743,38794,38743,38845
Clark,139829,139404,138778,138325,138086,137673,137368,137260,136917,136123,136165,136437,136265,135887,135608,134732,134610
Clermont,194346,195891,196512,197643,199038,199800,200899,202033,202716,204093,205338,206807,207977,208750,209893,210679,211972
Clinton,42576,42656,42418,41923,41925,41838,41893,41842,41886,41950,42066,42155,42041,42028,42115,41890,41938
Columbiana,109153,108469,107948,107903,107503,106772,106182,105909,105070,104261,103587,102977,102290,101642,101352,100569,100182
Coshocton,37184,36953,36878,36941,36944,36846,36758,36579,36639,36722,36617,36701,36655,36584,36658,36615,36869
Crawford,44634,44291,43921,43770,43390,42917,42923,42677,42661,42495,42195,41980,41986,42013,41782,41509,41529
