experiment,train_end,holdout_year,model,mae_max_h1,rmse_max_h1,coverage_50_max_h1,coverage_80_max_h1,coverage_95_max_h1,h1_failure_count,h1_failure_rate
C,2020-12-01,2021,county_negative_binomial_induced_h1,2.6407991133583005e-05,3.058031102447691e-05,0.4166666666666667,0.75,0.9166666666666666,0.0,0.0
C,2020-12-01,2021,h1_random_walk,9.051509452092156e-05,9.666708206537628e-05,,0.8333333333333334,1.0,,
C,2020-12-01,2021,h1_recent_12_month_average,3.441235652979713e-05,3.960725760168899e-05,,1.0,1.0,,
C,2020-12-01,2021,h1_sarimax_scalar,5.212377697621096e-05,7.240449569446236e-05,,0.75,0.8333333333333334,,
A,2021-12-01,2022,county_negative_binomial_induced_h1,5.4289980781437376e-05,0.0001039850583709,0.5,0.6666666666666666,0.8333333333333334,0.0,0.0
A,2021-12-01,2022,h1_random_walk,7.138287930238546e-05,0.0001239741958055,,0.9166666666666666,0.9166666666666666,,
A,2021-12-01,2022,h1_recent_12_month_average,5.49005081919586e-05,0.0001083037827544,,0.9166666666666666,0.9166666666666666,,
A,2021-12-01,2022,h1_sarimax_scalar,6.309375998162215e-05,0.000111430994639,,0.8333333333333334,0.8333333333333334,,
B,2022-12-01,2023,county_negative_binomial_induced_h1,4.309543835743474e-05,5.0668258303679346e-05,0.3333333333333333,0.4166666666666667,0.5,0.0,0.0
B,2022-12-01,2023,h1_random_walk,0.0001920126856668,0.0001938612779907,,0.6666666666666666,0.9166666666666666,,
B,2022-12-01,2023,h1_recent_12_month_average,5.768107617356016e-05,6.356437835577767e-05,,0.9166666666666666,1.0,,
B,2022-12-01,2023,h1_sarimax_scalar,7.626800673038588e-05,0.0001264497516378,,0.75,0.8333333333333334,,
