date,month_label,month_index,year,month,source,h1_point_count,max_h1_persistence,top_ranked_total_persistence
2007-01-01,2007_1,0,2007,1,observed,17,9.435742592942064e-05,0.0003999505799404834
2007-02-01,2007_2,1,2007,2,observed,15,5.6208195154853575e-05,0.00031235702753907
2007-03-01,2007_3,2,2007,3,observed,15,7.371369600471768e-05,0.0003492361742418325
2007-04-01,2007_4,3,2007,4,observed,15,0.00010224164813536794,0.00034790176674370066
2007-05-01,2007_5,4,2007,5,observed,11,0.00010377750103777501,0.00040677787899893195
2007-06-01,2007_6,5,2007,6,observed,12,0.00014742739200943535,0.0003256078763609108
2007-07-01,2007_7,6,2007,7,observed,13,6.98202129516495e-05,0.0003336202941421295
2007-08-01,2007_8,7,2007,8,observed,11,8.470269354565475e-05,0.00030580786461804216
2007-09-01,2007_9,8,2007,9,observed,17,0.00010197838058331633,0.0002827428904321287
2007-10-01,2007_10,9,2007,10,observed,14,6.798558705554423e-05,0.0003157040244262626
2007-11-01,2007_11,10,2007,11,observed,17,8.990784445942908e-05,0.00038459350032578516
2007-12-01,2007_12,11,2007,12,observed,14,0.00017520498983811058,0.0005106170119349433
2008-01-01,2008_1,12,2008,1,observed,12,6.318476488948985e-05,0.0002473177561548167
2008-02-01,2008_2,13,2008,2,observed,14,0.0001507658907248824,0.0004445503522099919
2008-03-01,2008_3,14,2008,3,observed,14,6.792324673119375e-05,0.0003111570128361286
2008-04-01,2008_4,15,2008,4,observed,14,7.43383883437407e-05,0.00034501634776597917
2008-05-01,2008_5,16,2008,5,observed,14,0.00010458063166701528,0.00037895754461409815
2008-06-01,2008_6,17,2008,6,observed,17,6.824541049614414e-05,0.00033331452467285803
2008-07-01,2008_7,18,2008,7,observed,15,9.377344336084021e-05,0.00031689513135136065
2008-08-01,2008_8,19,2008,8,observed,16,6.824541049614414e-05,0.00027884883702561456
2008-09-01,2008_9,20,2008,9,observed,17,6.43707756678468e-05,0.0003318445162248077
2008-10-01,2008_10,21,2008,10,observed,13,0.0001486767766874814,0.0003016127251287749
2008-11-01,2008_11,22,2008,11,observed,14,6.306760847628658e-05,0.0002754051200148575
2008-12-01,2008_12,23,2008,12,observed,17,6.864988558352403e-05,0.0003890787220866149
2009-01-01,2009_1,24,2009,1,observed,11,0.00010526315789473685,0.0003544865316399037
2009-02-01,2009_2,25,2009,2,observed,14,7.421701053881549e-05,0.00031922136830427815
2009-03-01,2009_3,26,2009,3,observed,12,7.017543859649122e-05,0.0002504687755292579
2009-04-01,2009_4,27,2009,4,observed,14,9.059338668277215e-05,0.00023695661445049713
2009-05-01,2009_5,28,2009,5,observed,15,6.884207627702051e-05,0.0003095875964639291
2009-06-01,2009_6,29,2009,6,observed,15,4.969931911932806e-05,0.000275303924293343
2009-07-01,2009_7,30,2009,7,observed,15,7.70594128072744e-05,0.0003272503724653374
2009-08-01,2009_8,31,2009,8,observed,11,6.913477825019876e-05,0.0002888904237914999
2009-09-01,2009_9,32,2009,9,observed,12,7.571837811234083e-05,0.00025232486856409625
