target,train_end,holdout_year,model,mae,rmse,coverage_80,coverage_95
statewide_rate,2021-12-01,2022,drift_residual_bootstrap,2.1220125248658327e-06,2.342633961814242e-06,1.0,1.0
statewide_rate,2021-12-01,2022,mean_residual_bootstrap,1.3305550388180444e-05,1.3529883932510671e-05,0.6666666666666666,1.0
statewide_rate,2021-12-01,2022,naive_residual_bootstrap,2.14419309989725e-06,2.466460801005256e-06,1.0,1.0
statewide_rate,2021-12-01,2022,recent_5_year_same_month_bootstrap,3.249473644094429e-06,3.86097796474448e-06,0.9166666666666666,1.0
statewide_rate,2021-12-01,2022,seasonal_naive_residual_bootstrap,3.5968000922925206e-06,4.353586906512305e-06,0.5833333333333334,1.0
statewide_rate,2021-12-01,2022,stl_loess_residual_bootstrap,6.4330530656399645e-06,6.846671560437668e-06,0.0,0.1666666666666666
statewide_rate,2022-12-01,2023,drift_residual_bootstrap,1.0791499312934346e-05,1.147307688087716e-05,0.4166666666666667,0.9166666666666666
statewide_rate,2022-12-01,2023,mean_residual_bootstrap,5.692715541427889e-06,6.602336115647826e-06,1.0,1.0
statewide_rate,2022-12-01,2023,naive_residual_bootstrap,9.870230159001436e-06,1.047083039435586e-05,0.25,0.8333333333333334
statewide_rate,2022-12-01,2023,recent_5_year_same_month_bootstrap,5.482368607879122e-06,6.289660535356807e-06,0.6666666666666666,0.75
statewide_rate,2022-12-01,2023,seasonal_naive_residual_bootstrap,7.0575546350280375e-06,8.522631363708555e-06,0.25,0.75
statewide_rate,2022-12-01,2023,stl_loess_residual_bootstrap,7.547764064554163e-06,8.6503657503906e-06,0.1666666666666666,0.1666666666666666
max_h1_persistence,2021-12-01,2022,drift_residual_bootstrap,7.06914711231352e-05,0.0001234488288551,0.9166666666666666,0.9166666666666666
max_h1_persistence,2021-12-01,2022,mean_residual_bootstrap,7.03047875634552e-05,0.0001231673972844,0.8333333333333334,0.8333333333333334
max_h1_persistence,2021-12-01,2022,naive_residual_bootstrap,7.138287930238546e-05,0.0001239741958055,0.9166666666666666,0.9166666666666666
max_h1_persistence,2021-12-01,2022,recent_5_year_same_month_bootstrap,6.242928360796396e-05,0.000118020802485,0.75,0.75
max_h1_persistence,2021-12-01,2022,seasonal_naive_residual_bootstrap,6.787971199084552e-05,0.0001145853729004,0.6666666666666666,0.8333333333333334
max_h1_persistence,2021-12-01,2022,stl_loess_residual_bootstrap,6.016399931550157e-05,0.0001101233179038,0.5,0.6666666666666666
max_h1_persistence,2022-12-01,2023,drift_residual_bootstrap,0.0001996489756296,0.0002014603929688,0.5,0.8333333333333334
max_h1_persistence,2022-12-01,2023,mean_residual_bootstrap,2.284990551394919e-05,2.75075990733976e-05,1.0,1.0
max_h1_persistence,2022-12-01,2023,naive_residual_bootstrap,0.0001920126856668,0.0001938612779907,0.4166666666666667,0.8333333333333334
max_h1_persistence,2022-12-01,2023,recent_5_year_same_month_bootstrap,3.992902719129214e-05,4.800519860905462e-05,0.8333333333333334,1.0
max_h1_persistence,2022-12-01,2023,seasonal_naive_residual_bootstrap,7.569683200261646e-05,0.0001300633698484,0.8333333333333334,0.8333333333333334
max_h1_persistence,2022-12-01,2023,stl_loess_residual_bootstrap,4.691323258536765e-05,6.439417822671841e-05,0.4166666666666667,0.6666666666666666
