predicted,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,model,target,train_end,holdout_year,horizon,date,observed
2.485444642126116e-05,1.6054997733433205e-05,3.2389410142084945e-05,1.4086383267185301e-05,3.915821035790604e-05,1.3720767275726894e-05,4.3650386005025135e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,1,2022-01-01,3.741593001928536e-05
2.485444642126116e-05,1.6071335994608325e-05,3.223431565148224e-05,1.4086383267185301e-05,3.915821035790604e-05,1.346024637808651e-05,4.3650386005025135e-05,1.3010786115166622e-05,4.496300836354454e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,2,2022-02-01,3.4354626654071106e-05
2.485444642126116e-05,1.600598294990785e-05,3.2389410142084945e-05,1.4086383267185301e-05,3.915821035790604e-05,1.346024637808651e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,3,2022-03-01,4.05622695890889e-05
2.485444642126116e-05,1.59418717767528e-05,3.282810567664112e-05,1.3999430284054527e-05,3.935325684748794e-05,1.3357740411571065e-05,4.404513595591874e-05,1.273616929990577e-05,4.496300836354454e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,4,2022-04-01,3.5375061109142526e-05
2.485444642126116e-05,1.6325976252130734e-05,3.339592513485522e-05,1.4086383267185301e-05,3.935325684748794e-05,1.346024637808651e-05,4.3650386005025135e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,5,2022-05-01,3.6055350745856803e-05
2.485444642126116e-05,1.6325976252130734e-05,3.2658451383738585e-05,1.4086383267185301e-05,3.915821035790604e-05,1.346024637808651e-05,4.3093091191525674e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,6,2022-06-01,3.66506041779818e-05
2.485444642126116e-05,1.5804934456849966e-05,3.1810179919225896e-05,1.3999430284054527e-05,3.915821035790604e-05,1.3357740411571065e-05,4.3093091191525674e-05,1.2730390144576588e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,7,2022-07-01,4.107248681662461e-05
2.485444642126116e-05,1.6325976252130734e-05,3.2658451383738585e-05,1.4086383267185301e-05,3.935325684748794e-05,1.3707741230844879e-05,4.31209559322005e-05,1.3010786115166622e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,8,2022-08-01,3.903161790648177e-05
2.485444642126116e-05,1.6071335994608325e-05,3.223431565148224e-05,1.4086383267185301e-05,3.915821035790604e-05,1.3720767275726894e-05,4.3093091191525674e-05,1.3003920694785103e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,9,2022-09-01,3.639549556421394e-05
2.485444642126116e-05,1.59418717767528e-05,3.282810567664112e-05,1.4086383267185301e-05,3.915821035790604e-05,1.3357740411571065e-05,4.3093091191525674e-05,1.273616929990577e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,10,2022-10-01,4.209292127169603e-05
2.485444642126116e-05,1.5786420486402168e-05,3.2658451383738585e-05,1.3999430284054527e-05,3.935325684748794e-05,1.3357740411571065e-05,4.3650386005025135e-05,1.273616929990577e-05,4.496300836354454e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,11,2022-11-01,3.77560748376425e-05
2.485444642126116e-05,1.6152295653703814e-05,3.282810567664112e-05,1.4086383267185301e-05,3.935325684748794e-05,1.3357740411571065e-05,4.3093091191525674e-05,1.2505003086738435e-05,4.481187913503531e-05,mean_residual_bootstrap,statewide_rate,2021-12-01,2022,12,2022-12-01,4.1157523021213896e-05
3.790832085092791e-05,3.620839614909258e-05,3.955828653598368e-05,3.4793643087702594e-05,4.1263191958973125e-05,3.36486365225025e-05,4.237225360487139e-05,3.3052280716522945e-05,4.4779319713480705e-05,naive_residual_bootstrap,statewide_rate,2021-12-01,2022,1,2022-01-01,3.741593001928536e-05
3.790832085092791e-05,3.5528165486925185e-05,4.025758718490926e-05,3.340771429331907e-05,4.288848404770934e-05,3.211226626811862e-05,4.495005194052476e-05,3.0927955892213125e-05,4.741108193213134e-05,naive_residual_bootstrap,statewide_rate,2021-12-01,2022,2,2022-02-01,3.4354626654071106e-05
