preprocessing_mode,spatial_lag,temporal_lag,covariance,n_terms,observed_covariance,separable_covariance,residual
raw_rate,same_county,0,6.7781911569328e-10,18744,6.7781911569328e-10,6.326023689300117e-10,4.521674676326829e-11
raw_rate,same_county,1,1.9807924836253045e-10,18656,1.9807924836253045e-10,2.2804460349736677e-10,-2.996535513483632e-11
raw_rate,same_county,2,1.956869598142e-10,18568,1.956869598142e-10,2.2372941577245837e-10,-2.8042455958258356e-11
raw_rate,same_county,3,1.8382155110711292e-10,18480,1.8382155110711292e-10,2.1232639749051693e-10,-2.8504846383404002e-11
raw_rate,same_county,6,1.8022855489433453e-10,18216,1.8022855489433453e-10,2.052454314187665e-10,-2.5016876524431953e-11
raw_rate,same_county,12,1.5687595101875262e-10,17688,1.5687595101875262e-10,1.8072407594534954e-10,-2.384812492659692e-11
raw_rate,adjacent,0,1.1989272512933197e-10,96702,1.1989272512933197e-10,1.9416247587599654e-10,-7.426975074666457e-11
raw_rate,adjacent,1,1.1934791325121696e-10,96248,1.1934791325121696e-10,6.999294817706785e-11,4.935496507414911e-11
raw_rate,adjacent,2,1.1295114254934593e-10,95794,1.1295114254934593e-10,6.866850240561893e-11,4.4282640143727e-11
raw_rate,adjacent,3,1.1250340624586098e-10,95340,1.1250340624586098e-10,6.516861310576404e-11,4.7334793140096944e-11
raw_rate,adjacent,6,1.0297449471458745e-10,93978,1.0297449471458745e-10,6.299527647028726e-11,3.9979218244300196e-11
raw_rate,adjacent,12,9.732719379277905e-11,91254,9.732719379277905e-11,5.546902091957369e-11,4.1858172873205365e-11
raw_rate,graph_distance_2,0,1.0615238922344871e-10,171678,1.0615238922344871e-10,1.6850064135518933e-10,-6.234825213174062e-11
raw_rate,graph_distance_2,1,1.0121021325509332e-10,170872,1.0121021325509332e-10,6.0742203687744e-11,4.046800956734931e-11
raw_rate,graph_distance_2,2,9.980783890495717e-11,170066,9.980783890495717e-11,5.959280568525952e-11,4.0215033219697645e-11
raw_rate,graph_distance_2,3,9.512428746502161e-11,169260,9.512428746502161e-11,5.6555485579832194e-11,3.8568801885189414e-11
raw_rate,graph_distance_2,6,9.034350017230852e-11,166842,9.034350017230852e-11,5.46693919085069e-11,3.567410826380162e-11
raw_rate,graph_distance_2,12,7.970383667142559e-11,162006,7.970383667142559e-11,4.813785752434391e-11,3.156597914708168e-11
raw_rate,graph_distance_3_plus,0,6.471144381310376e-11,1362348,6.471144381310376e-11,1.0109431876891942e-10,-3.638287495581566e-11
raw_rate,graph_distance_3_plus,1,6.171049860953146e-11,1355952,6.171049860953146e-11,3.644313548570544e-11,2.5267363123826013e-11
raw_rate,graph_distance_3_plus,2,5.915186707210962e-11,1349556,5.915186707210962e-11,3.575353806268681e-11,2.339832900942281e-11
raw_rate,graph_distance_3_plus,3,5.710491031763051e-11,1343160,5.710491031763051e-11,3.393125534333463e-11,2.317365497429588e-11
raw_rate,graph_distance_3_plus,6,5.3099138439237063e-11,1323972,5.3099138439237063e-11,3.279966704014787e-11,2.0299471399089192e-11
raw_rate,graph_distance_3_plus,12,4.5105494763490397e-11,1285596,4.5105494763490397e-11,2.8880981545706006e-11,1.622451321778439e-11
county_centered,same_county,0,5.988572147751242e-10,18744,5.988572147751242e-10,5.668167662726362e-10,3.2040448502488e-11
county_centered,same_county,1,1.185254920243912e-10,18656,1.185254920243912e-10,1.4903437792640347e-10,-3.0508885902012285e-11
county_centered,same_county,2,1.1565712709547218e-10,18568,1.1565712709547218e-10,1.444170939044706e-10,-2.8759966808998426e-11
county_centered,same_county,3,1.0344124424370545e-10,18480,1.0344124424370545e-10,1.324175539376649e-10,-2.8976309693959448e-11
county_centered,same_county,6,9.89707782501095e-11,18216,9.89707782501095e-11,1.2476250348442692e-10,-2.579172523431742e-11
county_centered,same_county,12,7.502249775210304e-11,17688,7.502249775210304e-11,9.926107707125748e-11,-2.4238579319154442e-11
county_centered,adjacent,0,8.872562221765711e-11,96702,8.872562221765711e-11,1.4089641514516423e-10,-5.217079292750712e-11
county_centered,adjacent,1,8.805351500715399e-11,96248,8.805351500715399e-11,3.704620405162769e-11,5.10073109555263e-11
county_centered,adjacent,2,8.150714407749499e-11,95794,8.150714407749499e-11,3.589846318525313e-11,4.5608680892241856e-11
county_centered,adjacent,3,8.092042186601504e-11,95340,8.092042186601504e-11,3.2915678861790063e-11,4.800474300422498e-11
county_centered,adjacent,6,7.10243181116524e-11,93978,7.10243181116524e-11,3.101282553987931e-11,4.001149257177309e-11
county_centered,adjacent,12,6.531571869902261e-11,91254,6.531571869902261e-11,2.4673811282535465e-11,4.064190741648714e-11
