county,year,month,date,month_label,month_index,county_index,deaths,deaths_per_capita,population_year_used,population,log_rate
Adams,2007,1,2007-01-01,2007_1,0,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,2,2007-02-01,2007_2,1,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,3,2007-03-01,2007_3,2,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,4,2007-04-01,2007_4,3,0,1.0,3.504099796762212e-05,2007,28538.0,1.5049880479547542
Adams,2007,5,2007-05-01,2007_5,4,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,6,2007-06-01,2007_6,5,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,7,2007-07-01,2007_7,6,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,8,2007-08-01,2007_8,7,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,9,2007-09-01,2007_9,8,0,1.0,3.504099796762212e-05,2007,28538.0,1.5049880479547542
Adams,2007,10,2007-10-01,2007_10,9,0,0.0,0.0,2007,28538.0,0.0
Adams,2007,11,2007-11-01,2007_11,10,0,1.0,3.504099796762212e-05,2007,28538.0,1.5049880479547542
Adams,2007,12,2007-12-01,2007_12,11,0,5.0,0.0001752049898381,2007,28538.0,2.9188781718253805
Adams,2008,1,2008-01-01,2008_1,12,0,1.0,3.4860210555671756e-05,2008,28686.0,1.5009661297042944
Adams,2008,2,2008-02-01,2008_2,13,0,2.0,6.972042111134351e-05,2008,28686.0,2.0759406847167208
Adams,2008,3,2008-03-01,2008_3,14,0,0.0,0.0,2008,28686.0,0.0
Adams,2008,4,2008-04-01,2008_4,15,0,0.0,0.0,2008,28686.0,0.0
Adams,2008,5,2008-05-01,2008_5,16,0,3.0,0.000104580631667,2008,28686.0,2.438693688861747
Adams,2008,6,2008-06-01,2008_6,17,0,1.0,3.4860210555671756e-05,2008,28686.0,1.5009661297042944
Adams,2008,7,2008-07-01,2008_7,18,0,1.0,3.4860210555671756e-05,2008,28686.0,1.5009661297042944
Adams,2008,8,2008-08-01,2008_8,19,0,1.0,3.4860210555671756e-05,2008,28686.0,1.5009661297042944
Adams,2008,9,2008-09-01,2008_9,20,0,0.0,0.0,2008,28686.0,0.0
Adams,2008,10,2008-10-01,2008_10,21,0,0.0,0.0,2008,28686.0,0.0
Adams,2008,11,2008-11-01,2008_11,22,0,1.0,3.4860210555671756e-05,2008,28686.0,1.5009661297042944
Adams,2008,12,2008-12-01,2008_12,23,0,0.0,0.0,2008,28686.0,0.0
Adams,2009,1,2009-01-01,2009_1,24,0,3.0,0.0001052631578947,2009,28500.0,2.4446327506497405
Adams,2009,2,2009-02-01,2009_2,25,0,0.0,0.0,2009,28500.0,0.0
Adams,2009,3,2009-03-01,2009_3,26,0,2.0,7.017543859649122e-05,2009,28500.0,2.0816321230596544
Adams,2009,4,2009-04-01,2009_4,27,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2009,5,2009-05-01,2009_5,28,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2009,6,2009-06-01,2009_6,29,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2009,7,2009-07-01,2009_7,30,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2009,8,2009-08-01,2009_8,31,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2009,9,2009-09-01,2009_9,32,0,0.0,0.0,2009,28500.0,0.0
Adams,2009,10,2009-10-01,2009_10,33,0,0.0,0.0,2009,28500.0,0.0
Adams,2009,11,2009-11-01,2009_11,34,0,0.0,0.0,2009,28500.0,0.0
Adams,2009,12,2009-12-01,2009_12,35,0,1.0,3.508771929824561e-05,2009,28500.0,1.5060248170606696
Adams,2010,1,2010-01-01,2010_1,36,0,0.0,0.0,2010,28528.0,0.0
Adams,2010,2,2010-02-01,2010_2,37,0,0.0,0.0,2010,28528.0,0.0
