replicate,null_type,max_t_M_t,mean_t_M_t,sum_t_M_t,lag1_autocorrelation_M_t,mean_restructuring_R_t,bottleneck_path_length,n_nontrivial_vines,top_vine_mean_persistence,top_vine_max_persistence,top_vine_distance_from_diagonal,max_vine_mean_persistence,max_vine_max_persistence,max_vine_duration_positive,sum_top25_mean_persistence,sum_top25_max_persistence,sum_top25_distance_from_diagonal,sum_top25_duration_positive,duration_weighted_mean_persistence,vineyard_success
0,separable_gaussian_matrix_normal_tda,9.550854011891733e-09,3.5782468686516845e-09,7.621665830228088e-07,0.546190830775205,9.786947653650068e-10,2.0748329025738142e-07,25,2.0061369141482967e-09,4.791466876226613e-09,3.116607751235049e-07,2.0061369141482967e-09,6.8312513932926166e-09,361.0,1.3880750690606225e-08,7.769531463950684e-08,2.0792089043963526e-06,4375.0,6.397851818161628e-10,True
1,separable_gaussian_matrix_normal_tda,9.75469778532738e-09,3.4300836754207906e-09,7.306078228646284e-07,0.3238879173349452,1.0562033908748412e-09,2.2391511886546632e-07,25,2.2800576495465795e-09,5.879144751510985e-09,3.538189479652213e-07,2.2800576495465795e-09,7.2605015009414874e-09,456.0,1.2080869017374674e-08,8.104464439515532e-08,1.7983310902989668e-06,4503.0,5.733691659130231e-10,True
2,separable_gaussian_matrix_normal_tda,7.817492067630066e-09,3.3511056969103343e-09,7.137855134419012e-07,0.2971180203997751,9.101512073713313e-10,1.9295205596272222e-07,25,2.686659914665492e-09,6.901131179918422e-09,4.2029735421916126e-07,2.686659914665492e-09,6.901131179918422e-09,440.0,1.302593380615424e-08,6.916727361542801e-08,1.8738635924787081e-06,5002.0,6.664502870481698e-10,True
3,separable_gaussian_matrix_normal_tda,8.92821674744773e-09,4.017072508677149e-09,8.556364443482328e-07,0.4235614073365045,1.0463266256699613e-09,2.2182124464203178e-07,25,3.291504954427193e-09,7.528754319725725e-09,5.098021041370993e-07,3.291504954427193e-09,7.528754319725725e-09,469.0,1.5338775045317937e-08,8.059117947509064e-08,2.266910257124698e-06,5913.0,6.759886178729485e-10,True
4,separable_gaussian_matrix_normal_tda,6.977918985262762e-09,3.22387605578075e-09,6.866855998812998e-07,0.3886804453250472,8.753029114733233e-10,1.8556421723234455e-07,25,2.3336528336240442e-09,6.179241764725292e-09,3.588190112541638e-07,2.3336528336240442e-09,6.179241764725292e-09,405.0,1.115847820621754e-08,7.052567636612153e-08,1.631897580358109e-06,4371.0,5.588722967721403e-10,True
5,separable_gaussian_matrix_normal_tda,9.224008088223666e-09,3.612989894480894e-09,7.695668475244304e-07,0.4590407917431511,1.074761698926601e-09,2.278494801724394e-07,25,2.3824023297861434e-09,6.1514957029739335e-09,3.710959372771998e-07,2.3824023297861434e-09,6.1514957029739335e-09,395.0,1.3238244117340466e-08,7.272826739126107e-08,1.9576061090194624e-06,4467.0,6.729317542667041e-10,True
6,separable_gaussian_matrix_normal_tda,8.750959085855118e-09,3.6402013445078767e-09,7.753628863801778e-07,0.4321452806540034,1.0787900698742924e-09,2.2870349481335e-07,25,2.542751436263377e-09,6.4778075494333226e-09,3.9727404536784975e-07,2.542751436263377e-09,6.4778075494333226e-09,382.0,1.3318453737505455e-08,7.803752374757241e-08,1.8842711496098654e-06,4832.0,6.216463820712687e-10,True
7,separable_gaussian_matrix_normal_tda,8.197849110871545e-09,3.527803604759178e-09,7.514221678137049e-07,0.37946090911789065,1.1128007560533337e-09,2.3591376028330677e-07,25,2.1314199872355506e-09,8.11519776001941e-09,3.3360584530526326e-07,2.1314199872355506e-09,8.11519776001941e-09,414.0,1.2303443410239642e-08,7.051143288253273e-08,1.81159642990161e-06,4446.0,6.036474038592309e-10,True
8,separable_gaussian_matrix_normal_tda,1.1467027894010342e-08,3.6459884085820258e-09,7.765955310279715e-07,0.45375538541152655,1.1169273529056193e-09,2.367885988159913e-07,25,2.8431480416359635e-09,1.1467027894010342e-08,4.732349948201918e-07,2.8431480416359635e-09,1.1467027894010342e-08,361.0,1.242589176872757e-08,8.347066466127308e-08,1.9333920793028805e-06,4164.0,6.262982745771288e-10,True
9,separable_gaussian_matrix_normal_tda,8.577472580475288e-09,3.789851323494826e-09,8.072383319043979e-07,0.496242156192818,1.076872039870672e-09,2.2829687245258247e-07,25,2.3215279536523094e-09,5.9574848124340845e-09,3.5535996248432756e-07,2.3215279536523094e-09,5.9574848124340845e-09,403.0,1.314681123380757e-08,7.205345952253506e-08,1.845706553739187e-06,4892.0,6.223497357506216e-10,True
