statistic,observed,B_requested,B_successful,p_upper,p_lower,p_two_sided
max_t_M_t,0.0004770613023773,50,50,0.0,1.0,0.0
sum_top25_distance_from_diagonal,0.0639999448629466,50,50,0.0,1.0,0.0
sum_top25_max_persistence,0.0032508824743638053,50,50,0.0,1.0,0.0
sum_top25_mean_persistence,0.00042800736545697067,50,50,0.0,1.0,0.0
max_vine_max_persistence,0.0004770613023773,50,50,0.0,1.0,0.0
max_vine_mean_persistence,5.3890604030714024e-05,50,50,0.0,1.0,0.0
top_vine_distance_from_diagonal,0.0088652076030378,50,50,0.0,1.0,0.0
top_vine_max_persistence,0.0004770613023773,50,50,0.0,1.0,0.0
bottleneck_path_length,0.008729058298589444,50,50,0.0,1.0,0.0
mean_restructuring_R_t,4.117480329523323e-05,50,50,0.0,1.0,0.0
lag1_autocorrelation_M_t,0.2754175847629021,50,50,1.0,0.0,0.0
sum_t_M_t,0.025238841910017858,50,50,0.0,1.0,0.0
mean_t_M_t,0.00011849221553998994,50,50,0.0,1.0,0.0
top_vine_mean_persistence,5.3890604030714024e-05,50,50,0.0,1.0,0.0
duration_weighted_mean_persistence,1.9481129650295124e-05,50,50,0.0,1.0,0.0
max_vine_duration_positive,428.0,50,50,0.24,0.76,0.48
sum_top25_duration_positive,4465.0,50,50,0.66,0.34,0.68
n_nontrivial_vines,25.0,50,50,1.0,1.0,1.0
