month_index,month_label,year,month,date,M_t_max_h1_persistence,Tot_t_total_h1_persistence,N_h1,N_sig_t,A_t,R_t_bottleneck_to_previous,h1_threshold
0,2007_1,2007,1,2007-01-01,9.435742592942064e-05,0.00015584270069812024,7,0,False,,0.00017490356387223999
1,2007_2,2007,2,2007-02-01,5.6208195154853575e-05,0.00010256872249636597,4,0,False,3.814923077456706e-05,0.00017490356387223999
2,2007_3,2007,3,2007-03-01,7.371369600471768e-05,0.00013561937811025753,5,0,False,1.75055008498641e-05,0.00017490356387223999
3,2007_4,2007,4,2007-04-01,0.0001022416481353,0.00014320132973367897,4,0,False,2.8527952130582323e-05,0.00017490356387223999
4,2007_5,2007,5,2007-05-01,0.0001037775010377,0.00016079377928581996,7,0,False,3.966091837951127e-06,0.00017490356387223999
5,2007_6,2007,6,2007-06-01,0.0001474273920094,0.00020540909104200752,6,0,False,4.364989097170001e-05,0.00017490356387223999
6,2007_7,2007,7,2007-07-01,6.98202129516495e-05,0.00011393267504954826,6,0,False,7.371369600469999e-05,0.00017490356387223999
7,2007_8,2007,8,2007-08-01,8.470269354565475e-05,0.000188471973865114,8,0,False,1.5085686700458604e-05,0.00017490356387223999
8,2007_9,2007,9,2007-09-01,0.0001019783805833,0.0001784428920965095,7,0,False,1.7275687037645254e-05,0.00017490356387223999
9,2007_10,2007,10,2007-10-01,6.798558705554423e-05,0.00013831159413919787,8,0,False,3.3992793527755775e-05,0.00017490356387223999
10,2007_11,2007,11,2007-11-01,8.990784445942908e-05,0.0001275492688070178,5,0,False,2.1922257403884853e-05,0.00017490356387223999
11,2007_12,2007,12,2007-12-01,0.0001752049898381,0.00020186286245332978,4,1,True,8.529714537867093e-05,0.00017490356387223999
12,2008_1,2008,1,2008-01-01,6.318476488948985e-05,0.00011608663202399164,6,0,False,8.760249491904999e-05,0.00017490356387223999
13,2008_2,2008,2,2008-02-01,0.0001507658907248,0.00023637803607532904,6,0,False,7.538294536239999e-05,0.00017490356387223999
14,2008_3,2008,3,2008-03-01,6.792324673119375e-05,0.000125581770809164,7,0,False,7.538294536239999e-05,0.00017490356387223999
15,2008_4,2008,4,2008-04-01,7.43383883437407e-05,0.0001404206184805735,5,0,False,1.2934030873968582e-05,0.00017490356387223999
16,2008_5,2008,5,2008-05-01,0.000104580631667,0.00015558402597297386,6,0,False,3.02422433232593e-05,0.00017490356387223999
17,2008_6,2008,6,2008-06-01,6.824541049614414e-05,0.00012355428313195335,5,0,False,3.6335221170855864e-05,0.00017490356387223999
18,2008_7,2008,7,2008-07-01,9.37734433608402e-05,0.00019340016876350625,11,0,False,2.5528032864696062e-05,0.00017490356387223999
19,2008_8,2008,8,2008-08-01,6.824541049614414e-05,0.00011760192071797479,5,0,False,2.5528032864696062e-05,0.00017490356387223999
20,2008_9,2008,9,2008-09-01,6.43707756678468e-05,0.00010887437165850669,6,0,False,4.9061719952755626e-06,0.00017490356387223999
21,2008_10,2008,10,2008-10-01,0.0001486767766874,0.0002177133721223927,8,0,False,7.433838834369999e-05,0.00017490356387223999
22,2008_11,2008,11,2008-11-01,6.306760847628658e-05,0.00013613278165741042,7,0,False,7.433838834369999e-05,0.00017490356387223999
23,2008_12,2008,12,2008-12-01,6.864988558352403e-05,0.00014023140917274304,6,0,False,7.069449079325892e-06,0.00017490356387223999
24,2009_1,2009,1,2009-01-01,0.0001052631578947,0.00015279818730137848,5,0,False,3.6613272311175965e-05,0.00017490356387223999
25,2009_2,2009,2,2009-02-01,7.421701053881549e-05,0.00019395387593483277,9,0,False,3.104614735588451e-05,0.00017490356387223999
26,2009_3,2009,3,2009-03-01,7.017543859649122e-05,0.00017128264114479815,7,0,False,8.182569490471396e-06,0.00017490356387223999
27,2009_4,2009,4,2009-04-01,9.059338668277217e-05,0.0001874845422438821,11,0,False,2.0417948086280942e-05,0.00017490356387223999
28,2009_5,2009,5,2009-05-01,6.884207627702051e-05,0.00013437726287822036,7,0,False,2.1751310405751655e-05,0.00017490356387223999
29,2009_6,2009,6,2009-06-01,4.969931911932806e-05,0.00011650495407466101,6,0,False,1.9142757157692447e-05,0.00017490356387223999
30,2009_7,2009,7,2009-07-01,7.70594128072744e-05,0.00010873673563642055,4,0,False,2.736009368794634e-05,0.00017490356387223999
31,2009_8,2009,8,2009-08-01,6.913477825019876e-05,0.00014850949137674312,7,0,False,1.5098897780462026e-05,0.00017490356387223999
32,2009_9,2009,9,2009-09-01,7.571837811234083e-05,0.00016544651946152672,9,0,False,8.535852612499464e-06,0.00017490356387223999
33,2009_10,2009,10,2009-10-01,7.421701053881549e-05,0.00016456473365000215,8,0,False,4.224127362390998e-06,0.00017490356387223999
34,2009_11,2009,11,2009-11-01,7.421701053881549e-05,0.00010151190056175287,5,0,False,1.010300502842619e-05,0.00017490356387223999
35,2009_12,2009,12,2009-12-01,7.421701053881549e-05,0.00020752533005170874,10,0,False,9.340661393551955e-06,0.00017490356387223999
36,2010_1,2010,1,2010-01-01,8.914244963451596e-05,0.00014682484851501372,6,0,False,1.492543909570047e-05,0.00017490356387223999
37,2010_2,2010,2,2010-02-01,7.47328301322771e-05,0.00010828132112160891,4,0,False,1.4409619502238859e-05,0.00017490356387223999
38,2010_3,2010,3,2010-03-01,0.0001150119324879,0.00013201332240754643,3,0,False,4.027910235562289e-05,0.00017490356387223999
39,2010_4,2010,4,2010-04-01,8.625894936599672e-05,0.0001461758552470188,8,0,False,2.8752983121903275e-05,0.00017490356387223999
40,2010_5,2010,5,2010-05-01,0.0001022442615408,0.00022052927632032433,10,0,False,1.5985312174803277e-05,0.00017490356387223999
41,2010_6,2010,6,2010-06-01,0.0001265582484338,0.00023634145414084677,10,0,False,2.4313986893000016e-05,0.00017490356387223999
42,2010_7,2010,7,2010-07-01,9.982281450425494e-05,0.000158000090359191,6,0,False,2.6735433929545068e-05,0.00017490356387223999
43,2010_8,2010,8,2010-08-01,8.787456533473933e-05,0.0001617855045040265,8,0,False,1.1948249169515615e-05,0.00017490356387223999
44,2010_9,2010,9,2010-09-01,0.0001533663923112,0.00028749419466134554,11,0,False,6.549182697646066e-05,0.00017490356387223999
45,2010_10,2010,10,2010-10-01,9.379103357719002e-05,0.00016155888191954514,6,0,False,5.957535873400997e-05,0.00017490356387223999
46,2010_11,2010,11,2010-11-01,6.657789613848202e-05,0.0001521680538938604,9,0,False,2.7213137438707996e-05,0.00017490356387223999
47,2010_12,2010,12,2010-12-01,4.553664941333617e-05,0.0001209468684815282,9,0,False,2.104124672514585e-05,0.00017490356387223999
48,2011_1,2011,1,2011-01-01,0.0001056672889295,0.0002007589094437899,7,0,False,5.283364446475e-05,0.00017490356387223999
49,2011_2,2011,2,2011-02-01,6.91403549204886e-05,0.0001226237069315126,6,0,False,3.6526934009011405e-05,0.00017490356387223999
50,2011_3,2011,3,2011-03-01,5.040449608105043e-05,0.00010349826448617178,6,0,False,1.873585883943816e-05,0.00017490356387223999
51,2011_4,2011,4,2011-04-01,0.0001408897185727,0.00021316011388529534,7,0,False,7.044485928634999e-05,0.00017490356387223999
52,2011_5,2011,5,2011-05-01,7.96833913251348e-05,0.00019427558403858403,11,0,False,6.120632724756521e-05,0.00017490356387223999
53,2011_6,2011,6,2011-06-01,0.0001408897185727,0.00021007370534920831,8,0,False,6.120632724756521e-05,0.00017490356387223999
54,2011_7,2011,7,2011-07-01,7.486150621350502e-05,0.00019634809808368996,9,0,False,6.602821235919499e-05,0.00017490356387223999
55,2011_8,2011,8,2011-08-01,0.0001336273134228,0.00021191678525356896,7,0,False,5.876580720929497e-05,0.00017490356387223999
56,2011_9,2011,9,2011-09-01,0.000127199491202,0.00016037679963363093,5,0,False,7.3673217331417956e-06,0.00017490356387223999
57,2011_10,2011,10,2011-10-01,0.0001908882667345,0.0002879466635616688,7,1,True,6.368877553249999e-05,0.00017490356387223999
58,2011_11,2011,11,2011-11-01,0.0001938798591139,0.000218114532554323,4,1,True,1.0602968057535247e-05,0.00017490356387223999
59,2011_12,2011,12,2011-12-01,6.916585973163646e-05,0.00014345694238421318,6,0,False,9.693992955694998e-05,0.00017490356387223999
60,2012_1,2012,1,2012-01-01,7.586102260658473e-05,0.00011031556079726678,5,0,False,1.1208709914851167e-05,0.00017490356387223999
61,2012_2,2012,2,2012-02-01,7.167602436984828e-05,0.00013278388844879628,6,0,False,7.131067962541605e-06,0.00017490356387223999
62,2012_3,2012,3,2012-03-01,7.115665136798663e-05,0.00016140347108227173,8,0,False,6.5014937316901884e-06,0.00017490356387223999
63,2012_4,2012,4,2012-04-01,0.0001415177781708,0.00019875636579297162,6,0,False,7.036112680281338e-05,0.00017490356387223999
64,2012_5,2012,5,2012-05-01,6.767120815663629e-05,0.00015046008958681105,6,0,False,7.07588890854e-05,0.00017490356387223999
65,2012_6,2012,6,2012-06-01,9.413315134257408e-05,0.00017773275208445846,8,0,False,2.646194318593779e-05,0.00017490356387223999
66,2012_7,2012,7,2012-07-01,7.272727272727273e-05,0.00015606014045600752,7,0,False,2.1405878615301353e-05,0.00017490356387223999
67,2012_8,2012,8,2012-08-01,7.586102260658473e-05,0.00015095627385976033,6,0,False,1.1989931305538218e-05,0.00017490356387223999
68,2012_9,2012,9,2012-09-01,0.0001517220452131,0.0002721288000383712,8,0,False,7.586102260651525e-05,0.00017490356387223999
69,2012_10,2012,10,2012-10-01,6.931688212664194e-05,0.00010915107010180834,6,0,False,7.586102260655e-05,0.00017490356387223999
70,2012_11,2012,11,2012-11-01,0.000178616082592,0.00023411983289983772,6,1,True,8.9308041296e-05,0.00017490356387223999
71,2012_12,2012,12,2012-12-01,7.075888908544135e-05,0.00014924584776618576,7,0,False,8.9308041296e-05,0.00017490356387223999
72,2013_1,2013,1,2013-01-01,0.0001359249694168,0.00019749795310590294,7,0,False,6.516608033135864e-05,0.00017490356387223999
73,2013_2,2013,2,2013-02-01,7.16110089991168e-05,0.0002188800444255602,11,0,False,6.431396041768319e-05,0.00017490356387223999
74,2013_3,2013,3,2013-03-01,0.0001297016861219,0.0002232255204414228,9,0,False,5.8090677122783185e-05,0.00017490356387223999
