statistic,null_type,is_primary,is_null_test,observed,B_successful,p_upper,p_lower,p_two_sided,p_two_sided_bh_within_family,p_two_sided_bh_all_tda
max_t_M_t,countywise_circular_shift,False,True,0.0004770613023773,200,1.0,1.0,1.0,1.0,1.0
sum_t_M_t,countywise_circular_shift,False,True,0.0252388419100178,200,1.0,0.0,0.0,0.0,0.0
longest_run_A_t,countywise_circular_shift,True,True,2.0,200,1.0,0.72,1.0,1.0,1.0
lag1_autocorrelation_M_t,countywise_circular_shift,True,True,0.2754175847629021,200,0.005,0.995,0.01,0.04,0.02666666666666667
total_variation_M_t,countywise_circular_shift,False,True,0.0088688095150811,200,0.585,0.415,0.83,1.0,1.0
mean_restructuring_R_t,countywise_circular_shift,True,True,4.117480329523653e-05,200,0.715,0.285,0.57,1.0,1.0
max_restructuring_R_t,countywise_circular_shift,False,True,0.0002385306511886,200,1.0,1.0,1.0,1.0,1.0
bottleneck_path_length,countywise_circular_shift,True,True,0.0087290582985901,200,0.715,0.285,0.57,1.0,1.0
max_t_M_t,event_poisson_bootstrap_uncertainty,False,False,0.0004770613023773,200,0.725,0.365,0.73,0.74,1.0
sum_t_M_t,event_poisson_bootstrap_uncertainty,False,False,0.0252388419100178,200,1.0,0.0,0.0,0.0,0.0
longest_run_A_t,event_poisson_bootstrap_uncertainty,True,False,2.0,200,1.0,0.0,0.0,0.0,0.0
lag1_autocorrelation_M_t,event_poisson_bootstrap_uncertainty,True,False,0.2754175847629021,200,0.205,0.795,0.41,0.5466666666666666,0.937142857142857
total_variation_M_t,event_poisson_bootstrap_uncertainty,False,False,0.0088688095150811,200,1.0,0.0,0.0,0.0,0.0
mean_restructuring_R_t,event_poisson_bootstrap_uncertainty,True,False,4.117480329523653e-05,200,1.0,0.0,0.0,0.0,0.0
max_restructuring_R_t,event_poisson_bootstrap_uncertainty,False,False,0.0002385306511886,200,0.71,0.37,0.74,0.74,1.0
bottleneck_path_length,event_poisson_bootstrap_uncertainty,True,False,0.0087290582985901,200,1.0,0.0,0.0,0.0,0.0
max_t_M_t,global_time_block_permutation,False,True,0.0004770613023773,200,1.0,1.0,1.0,1.0,1.0
sum_t_M_t,global_time_block_permutation,False,True,0.0252388419100178,200,1.0,1.0,1.0,1.0,1.0
longest_run_A_t,global_time_block_permutation,True,True,2.0,200,1.0,0.88,1.0,1.0,1.0
lag1_autocorrelation_M_t,global_time_block_permutation,True,True,0.2754175847629021,200,0.01,0.99,0.02,0.04,0.04923076923076923
total_variation_M_t,global_time_block_permutation,False,True,0.0088688095150811,200,1.0,0.0,0.0,0.0,0.0
mean_restructuring_R_t,global_time_block_permutation,True,True,4.117480329523653e-05,200,0.995,0.005,0.01,0.02666666666666667,0.02666666666666667
max_restructuring_R_t,global_time_block_permutation,False,True,0.0002385306511886,200,1.0,1.0,1.0,1.0,1.0
bottleneck_path_length,global_time_block_permutation,True,True,0.0087290582985901,200,0.995,0.005,0.01,0.02666666666666667,0.02666666666666667
max_t_M_t,within_month_spatial_permutation,False,True,0.0004770613023773,200,1.0,1.0,1.0,1.0,1.0
sum_t_M_t,within_month_spatial_permutation,False,True,0.0252388419100178,200,1.0,1.0,1.0,1.0,1.0
longest_run_A_t,within_month_spatial_permutation,True,True,2.0,200,1.0,1.0,1.0,1.0,1.0
lag1_autocorrelation_M_t,within_month_spatial_permutation,True,True,0.2754175847629021,200,1.0,1.0,1.0,1.0,1.0
total_variation_M_t,within_month_spatial_permutation,False,True,0.0088688095150811,200,1.0,1.0,1.0,1.0,1.0
mean_restructuring_R_t,within_month_spatial_permutation,True,True,4.117480329523653e-05,200,0.0,1.0,0.0,0.0,0.0
max_restructuring_R_t,within_month_spatial_permutation,False,True,0.0002385306511886,200,1.0,1.0,1.0,1.0,1.0
bottleneck_path_length,within_month_spatial_permutation,True,True,0.0087290582985901,200,0.0,1.0,0.0,0.0,0.0
